,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
20,ニシノオリーブ,17/10/22,東京,9,くるみ賞 ,1400/芝,雨/不良,5,5,7/8,1:30.1,0.8,39.8,3-4,450,松岡正,54.0,武藤善,0
21,ニシノオリーブ,17/9/17,中山,1,２歳,1200,小雨/重,3,6,1/16,1:11.7,0.2,37.9,2-2,452,戸崎圭,54.0,武藤善,"5,000,000"
22,ニシノオリーブ,17/8/27,新潟,1,２歳,1200,晴/稍重,7,8,5/15,1:14.8,2.2,38.7,7-6,450,西田雄,54.0,武藤善,"500,000"
23,ニシノオリーブ,17/7/22,福島,5,２歳,1800/芝,曇/良,4,9,8/14,1:53.8,1.0,35.7,2-2-2,456,武藤雅,51.0,武藤善,0
0,アビリータ,19/10/25,川崎,2,スパーキングデビュー新馬 ２歳(七)(ロ),1400,雨/不良,5,7,4/7,1:36.6,2.3,42.2,1-2-2,471,拜原靖,55.0,村田六,"405,000"
0,ヤーラシカ,19/10/25,川崎☆,7, Ｃ２(九)(十)(十一),1400,曇/不良,2,2,2/8,1:33.3,0.5,41.2,1-1-1,456,伊藤裕,54.0,佐藤博,"380,000"
1,ヤーラシカ,19/9/25,船橋,2, ３歳(三)(四),1200,晴/稍重,7,2,3/12,1:16.5,1.0,40.0,3-3-3,452,山崎誠,54.0,佐藤博,"300,000"
2,ヤーラシカ,19/9/5,川崎,3, ３歳(四),1400,曇/重,7,2,2/10,1:33.8,0.3,42.1,2-2-2,454,山崎誠,54.0,佐藤博,"418,000"
3,ヤーラシカ,19/8/3,高知,8,Ｃ３−１１ Ｃ３,1300,晴/良,10,2,2/10,1:25.4,0.4,40.2,1-1-2,456,西川敏,54.0,工藤真,"105,000"
4,ヤーラシカ,19/7/20,高知,8,Ｃ３−１１ Ｃ３,800,曇/不良,5,2,2/9,48.3,0.7,35.6,1-2,455,多田誠,51.0,工藤真,"105,000"
5,ヤーラシカ,19/6/29,高知,2,Ｃ３イ Ｃ３(イ),1300,雨/不良,3,1,2/11,1:23.3,0.4,38.9,2-2-2,457,宮川実,54.0,工藤真,"56,000"
6,ヤーラシカ,19/6/22,高知,7,Ｃ３−１３ Ｃ３,1300,晴/重,2,4,2/11,1:25.5,0.1,40.6,3-3-1,455,宮川実,54.0,工藤真,"105,000"
7,ヤーラシカ,19/6/8,高知,4,Ｃ３−１４ Ｃ３,1400,晴/不良,7,9,4/11,1:32.3,1.4,41.6,3-3-2,456,宮川実,54.0,工藤真,"45,000"
8,ヤーラシカ,19/5/18,高知,3,Ｃ３−１４ Ｃ３,1300,曇/良,8,4,4/10,1:29.4,1.8,43.1,2-2-2,457,赤岡修,54.0,工藤真,"45,000"
9,ヤーラシカ,19/5/2,高知,2,Ｃ３−１４ Ｃ３,1300,晴/不良,8,5,7/10,1:26.8,1.6,42.0,2-1-5,458,多田誠,51.0,工藤真,0
10,ヤーラシカ,19/4/20,高知,1,Ｃ３−１５ Ｃ３,1300,晴/重,1,3,8/11,1:30.6,1.9,44.0,1-1-3,460,多田誠,51.0,工藤真,0
11,ヤーラシカ,19/3/24,佐賀,11,ブライトスター特選 ３歳,1400,晴/良,10,6,3/11,1:31.5,0.3,40.4,1-1-1,458,山下裕,54.0,池田忠,"30,000"
